id,gender,age,raceethn,poverty
83732,1,62,3,4.39
83733,1,53,3,1.32
83734,1,78,3,1.51
83735,2,56,3,5
83736,2,42,4,1.23
83737,2,72,1,2.82
83738,2,11,1,1.18
83739,1,4,3,4.22
83741,1,22,4,2.08
83742,2,32,1,1.03
83743,1,18,5,5
83744,1,56,4,1.19
83745,2,15,3,0.86
83747,1,46,3,0.75
83748,1,3,4,0.94
83749,2,17,3,3.16
83750,1,45,5,1.36
83751,2,16,1,0.58
83752,2,30,2,5
83753,1,15,4,2.49
83754,2,67,2,0.89
83755,1,67,4,2.04
83756,1,16,3,1.11
83757,2,57,2,0.77
83758,1,80,3,4.71
83759,2,19,1,1.74
83760,2,3,4,1.1
83761,2,24,5,0
83762,2,27,4,2.12
83763,2,2,2,1.94
83764,1,14,3,5
83765,2,0,3,3.17
83766,2,10,3,3.34
83767,2,54,5,2.99
83768,2,15,3,1.09
83769,1,49,5,2.97
83770,1,15,4,0.66
83772,2,2,5,1.25
83773,2,80,3,3.57
83774,2,13,3,4.3
83775,2,69,2,0.55
83776,2,58,1,3.72
83777,1,56,5,1.35
83778,1,16,2,0.99
83780,1,4,1,2.82
83782,2,0,3,0.98
83783,1,17,3,4.28
83785,2,60,2,5
83787,2,68,1,1.49
83788,2,69,3,1.79
83789,1,66,3,5
83790,1,56,3,1
83792,2,3,1,2.51
83793,2,11,3,1.23
83794,2,10,4,4.23
83795,1,5,3,2.3
83796,2,4,3,1.32
83797,2,1,2,4.22
83798,2,0,5,5
83799,2,37,2,4.18
83800,1,10,4,2.57
83803,1,27,4,2.36
83804,1,1,1,0.57
83805,2,7,4,1.89
83806,2,2,3,0
83808,1,4,5,1.91
83809,2,20,4,3.3
83810,2,6,4,1.1
83811,2,7,3,4.68
83812,2,68,1,5
83813,1,24,3,2.89
83814,2,11,2,4.73
83815,2,15,4,0.77
83816,1,27,3,0
83817,1,42,3,4.22
83818,2,80,2,0.84
83819,2,16,3,2.07
83820,1,70,3,4.18
83821,1,80,3,1.03
83822,2,20,4,1.62
83823,2,29,1,0.35
83824,1,23,5,0
83825,2,16,4,0.77
83827,1,61,4,4.39
83828,2,39,1,0.49
83829,1,50,5,5
83830,1,15,4,1.98
83831,2,15,5,0.6
83832,2,50,1,1.41
83833,1,14,3,2.98
83834,1,69,4,0.97
83835,2,13,4,0.31
83836,2,18,1,2.76
83837,2,45,1,2.18
83838,2,8,1,0.17
83839,1,13,3,4.32
83840,2,0,1,0.75
83841,1,13,5,4.12
83842,1,1,3,4.46
83843,1,80,3,2.82
83844,1,27,1,1.41
83845,2,44,4,1.5
83847,1,18,3,5
83848,1,10,3,1.65
83849,1,71,2,1.34
83850,1,13,3,5
83851,2,37,3,1.86
83852,2,0,3,5
83853,2,49,3,5
83854,2,46,1,2.39
83855,2,12,3,1.65
83856,1,30,3,1.9
83857,2,31,3,5
83859,1,2,3,0.34
83860,1,41,4,5
83861,1,80,3,4.21
83863,1,35,1,2.64
83864,1,4,4,0.19
83865,2,21,3,2.14
83866,1,40,4,4.36
83867,1,13,5,1.65
83868,2,11,1,4.54
83869,2,67,3,1.35
83870,1,48,1,2.24
83871,2,30,1,0.87
83873,1,4,3,4.68
83874,1,54,1,1.14
83875,2,42,4,1.82
83876,2,71,3,0.81
83877,2,13,5,3.55
83879,2,14,3,3.87
83880,2,79,3,0.43
83881,2,32,3,2.06
83882,2,4,3,0.97
83883,2,80,1,0.68
83884,1,61,1,0.62
83885,2,38,5,3.62
83886,1,74,3,2
83888,1,3,3,1.85
83889,1,26,3,4.25
83890,2,18,5,0.95
83891,2,54,3,5
83892,2,2,5,0.62
83893,2,68,1,1.12
83894,1,60,4,1.23
83895,2,80,3,0.77
83896,2,9,2,0.77
83897,2,29,3,1.68
83898,1,55,3,2.68
83899,1,27,3,1.57
83900,2,52,3,0.85
83901,2,10,4,0.66
83902,1,49,3,5
83903,2,47,4,2.08
83904,2,80,4,0.75
83905,1,9,2,1.47
83906,2,11,5,0.01
83907,1,22,5,0.42
83908,1,51,4,1.43
83910,1,37,3,4.37
83911,2,43,4,3.3
83912,1,1,1,1.23
83913,1,43,5,1.44
83914,2,23,2,2.32
83915,1,71,1,1.69
83916,2,8,4,2.92
